,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
283,Alyangula,48,AU,1567801776,93,-13.85,136.42,287.15,1.5
284,Makakilo City,75,US,1567801778,65,21.35,-158.09,305.15,6.7
285,Ilulissat,20,GL,1567801779,56,69.22,-51.1,278.15,5.1
286,Kodiak,1,US,1567801780,65,39.95,-94.76,302.15,3.6
287,Road Town,40,VG,1567801781,66,18.42,-64.62,304.15,2.6
288,Nishihara,1,JP,1567801783,88,35.74,139.53,299.82,1.73
289,Tongzi,80,CN,1567801784,91,28.78,105.09,296.856,0.5
290,Foz do Iguacu,0,BR,1567801785,61,-25.55,-54.59,299.15,5.1
291,Mogadishu,20,SO,1567801786,74,2.04,45.34,299.15,9.8
292,Avanigadda,100,IN,1567801787,90,16.02,80.92,298.356,2.47
293,Beyneu,8,KZ,1567801789,34,45.32,55.19,290.456,2.6
294,Yeppoon,0,AU,1567801790,76,-23.13,150.74,287.15,2.1
295,Bluefield,1,US,1567801753,31,37.27,-81.22,302.15,4.1
296,Palauig,100,PH,1567801792,82,15.44,119.9,301.656,7.88
297,Galveston,90,US,1567801794,88,40.58,-86.19,297.04,4.6
298,Newport,90,US,1567801570,68,41.49,-71.31,292.15,6.2
299,Ostersund,0,SE,1567801796,66,63.18,14.64,282.15,3.1
300,La Baule-Escoublac,0,FR,1567801798,77,47.28,-2.4,290.93,5.1
301,Almenara,90,BR,1567801799,94,-16.17,-40.69,291.956,2.09
302,Kenai,20,US,1567801800,71,60.55,-151.26,287.15,2.6
303,Kulhudhuffushi,2,MV,1567801801,78,6.62,73.07,301.256,5.92
304,Sidney,1,US,1567801561,39,47.72,-104.16,299.15,4.1
305,Loei,64,TH,1567801804,92,17.49,101.72,298.15,2.19
306,Rome,0,IT,1567801538,63,41.89,12.48,296.15,1.0
307,Gizo,20,IL,1567801806,69,31.8,34.94,300.15,1.0
308,Aklavik,20,CA,1567801807,87,68.22,-135.01,289.15,1.5
309,Liverpool,40,GB,1567801568,77,53.41,-2.98,288.15,8.2
310,Dongsheng,0,CN,1567801813,67,29.72,112.52,295.056,1.64
311,Batagay,99,RU,1567801815,82,67.65,134.64,277.956,1.18
312,Sao Filipe,100,CV,1567801816,84,14.9,-24.5,300.356,9.8
313,Curaca,0,BR,1567801817,31,-8.99,-39.91,302.056,7.61
314,Ribeira Grande,75,PT,1567801818,68,38.52,-28.7,295.15,5.7
315,Puri,65,ID,1567801820,85,-7.54,112.45,294.156,4.32
316,Boda,100,CF,1567801821,89,4.32,17.47,294.056,1.02
317,Ballina,75,IE,1567801822,93,54.11,-9.15,286.48,3.1
318,Gillette,1,US,1567801823,34,44.29,-105.5,302.04,11.3
319,Krasnogvardeyskoye,100,RU,1567801825,47,45.84,41.51,294.056,2.24
320,Andros Town,40,BS,1567801826,66,24.73,-77.79,305.93,3.1
321,Nsoko,100,ZA,1567801827,91,-27.07,31.93,284.856,1.74
322,Pachino,0,IT,1567801828,83,36.72,15.09,295.15,1.5
323,Ust-Omchug,99,RU,1567801830,95,61.13,149.63,275.656,3.12
324,Huarmey,98,PE,1567801832,89,-10.07,-78.15,288.956,6.75
325,Shar,75,NG,1567801833,90,7.3,8.73,297.556,3.72
326,Klaksvik,60,FO,1567801834,87,62.23,-6.59,280.15,2.6
327,Lata,6,IN,1567801835,90,30.78,78.62,278.156,1.05
328,Luderitz,0,NA,1567801837,76,-26.65,15.16,287.15,4.6
329,Henties Bay,22,NA,1567801838,86,-22.12,14.28,287.59,3.58
330,Gloversville,1,US,1567801839,63,43.05,-74.34,295.37,4.1
331,Sasd,100,HU,1567801840,71,46.26,18.11,290.956,3.54
332,Almaznyy,40,RU,1567801842,64,48.03,40.04,293.15,7.0
333,Buin,75,CL,1567801843,41,-33.73,-70.74,289.15,2.6
334,Klyuchi,53,RU,1567801844,70,52.25,79.17,285.256,4.5
335,San Ramon de la Nueva Oran,1,AR,1567801845,28,-23.13,-64.33,300.456,2.12
336,Deputatskiy,100,RU,1567801846,87,69.3,139.9,275.656,1.01
337,Talara,0,PE,1567801848,290,-4.58,-81.27,290.15,5.1
338,Monrovia,100,LR,1567801849,90,6.33,-10.8,298.156,4.28
339,Halifax,90,CA,1567801656,59,44.65,-63.58,293.15,4.1
340,Calama,40,CL,1567801851,10,-22.46,-68.93,295.37,9.8
341,Vangaindrano,69,MG,1567801852,82,-23.35,47.6,291.856,4.31
342,Vorotynets,0,RU,1567801854,92,56.06,45.86,285.056,1.97
343,Neon Karlovasion,0,GR,1567801855,47,37.79,26.7,298.15,2.6
344,Yairipok,93,IN,1567801856,97,24.67,94.07,294.056,1.09
345,Belmonte,0,PT,1567801857,31,40.36,-7.35,293.15,3.33
346,Kailua,75,US,1567801859,65,21.39,-157.74,305.15,6.7
347,Ocos,75,GT,1567801860,55,14.51,-92.19,306.15,4.1
348,Dhadar,76,IN,1567801861,59,28.33,75.06,304.956,3.13
349,Nizhniy Chir,100,RU,1567801862,37,48.36,43.08,291.056,4.41
350,Bathsheba,40,BB,1567801863,74,13.22,-59.52,303.15,2.6
351,Campo Grande,0,BR,1567801847,16,-20.46,-54.62,309.15,4.6
352,Te Anau,65,NZ,1567801866,82,-45.41,167.72,275.456,1.63
353,Abonnema,100,NG,1567801867,94,4.71,6.79,296.856,0.27
354,Sorong,90,ID,1567801868,93,-0.86,131.25,296.456,3.23
355,Isangel,20,VU,1567801869,88,-19.55,169.27,291.15,4.87
356,Bom Jesus,0,BR,1567801871,19,-9.08,-44.36,303.856,4.1
357,Turukhansk,88,RU,1567801872,80,65.8,87.96,283.156,2.66
358,Evensk,100,RU,1567801873,91,61.92,159.24,282.256,2.2
359,Bulgan,1,MN,1567801874,94,48.81,103.53,277.056,0.55
360,Assiniboia,92,CA,1567801875,34,49.63,-105.99,294.256,3.96
361,Padang,100,ID,1567801877,84,-0.92,100.36,299.956,7.95
362,Hobyo,4,SO,1567801878,83,5.35,48.53,297.956,11.83
363,Fortuna,40,US,1567801879,60,40.6,-124.16,299.26,3.6
364,Dikson,100,RU,1567801880,98,73.51,80.55,278.956,9.58
365,Los Llanos de Aridane,75,ES,1567801882,69,28.66,-17.92,296.15,5.1
366,Komsomolskiy,57,RU,1567801883,87,67.55,63.78,285.656,4.71
367,Strathmore,90,CA,1567801884,48,51.04,-113.4,293.71,7.2
368,Hasanabad,0,IR,1567801885,27,35.37,51.24,299.15,3.1
369,Palmares do Sul,100,BR,1567801886,86,-30.26,-50.51,290.93,3.13
370,Umm Lajj,0,SA,1567801874,66,25.02,37.27,303.056,5.1
371,Tshela,7,CD,1567801889,84,-4.99,12.94,295.156,1.53
372,Karlskoga,95,SE,1567801744,81,59.33,14.52,286.48,2.6
373,Micheweni,0,TZ,1567801891,78,-4.97,39.83,298.256,6.17
374,Kavieng,100,PG,1567801893,76,-2.57,150.8,301.356,6.42
375,Russell,1,US,1567801894,39,38.9,-98.86,303.15,7.2
376,Mpanda,17,BI,1567801895,45,-3.17,29.4,293.356,1.53
377,Berlin,0,DE,1567801714,41,52.52,13.39,289.82,2.6
378,Cherskiy,100,RU,1567801897,74,68.75,161.3,276.156,1.61
379,Shitanjing,92,CN,1567801899,50,39.23,106.34,296.656,1.12
380,Nome,1,US,1567801900,37,30.04,-94.42,310.15,1.5
381,Moissala,24,TD,1567801901,88,8.34,17.77,295.656,0.9
382,Caronport,90,CA,1567801902,37,50.46,-105.81,294.26,1.5
383,San Patricio,0,PY,1567801903,71,-26.98,-56.83,298.656,2.13
384,Dalbandin,0,PK,1567801680,13,28.9,64.41,299.156,4.77
385,Hearst,87,CA,1567801906,64,49.69,-83.67,287.556,1.76
386,Trelew,100,AR,1567801907,59,-43.25,-65.31,282.656,7.94
387,Gambela,100,ET,1567801908,76,8.25,34.59,293.656,1.36
388,Songjianghe,100,CN,1567801910,99,42.18,127.48,290.156,1.11
389,Fallon,1,US,1567801911,44,46.84,-105.12,300.37,7.7
390,Inverness,75,GB,1567801691,76,57.48,-4.23,285.37,5.7
391,Togur,0,RU,1567801913,92,58.36,82.83,280.256,2.65
392,Berlevag,75,NO,1567801914,87,70.86,29.09,283.15,5.1
393,Hinganghat,90,IN,1567801916,94,20.55,78.84,298.15,1.0
394,Tutoia,20,BR,1567801917,70,-2.76,-42.27,302.15,8.2
395,Maloy,50,ID,1567801918,99,1.0,118.1,295.956,0.33
396,Beaufort,75,MY,1567801919,88,5.36,115.76,301.15,1.88
397,Lagoa,0,PT,1567801921,69,37.14,-8.45,299.15,4.1
398,Santa Helena,13,BR,1567801752,93,-2.23,-45.3,297.956,1.25
399,Yelizovo,13,RU,1567801923,100,53.19,158.38,282.15,2.0
400,Vlore,98,AL,1567801924,78,40.47,19.49,299.056,4.46
401,Warwick,90,US,1567801703,68,41.7,-71.42,292.15,7.7
402,Mbandaka,100,CD,1567801926,81,0.05,18.26,296.956,1.16
403,Marathon,90,CA,1567801928,77,48.72,-86.38,290.15,1.5
404,Villa Carlos Paz,0,AR,1567801656,39,-31.42,-64.5,293.15,4.6
405,Ixtapa,40,MX,1567801930,63,20.71,-105.21,306.15,3.6
406,Thunder Bay,90,CA,1567801753,72,48.41,-89.26,291.15,2.1
407,Nganjuk,48,ID,1567801933,87,-7.6,111.9,292.856,3.64
408,Acambay,100,MX,1567801934,52,19.96,-99.84,292.556,5.56
409,Cuenca,75,EC,1567801935,77,-2.9,-79.0,289.15,4.6
410,Qingdao,40,CN,1567801936,94,36.09,120.35,295.15,6.0
411,Pedernales,83,EC,1567801938,87,0.07,-80.05,294.756,7.18
412,Puerto Leguizamo,82,CO,1567801939,57,-0.19,-74.78,303.756,0.21
413,Lewisville,40,US,1567801650,32,33.05,-96.99,312.04,1.5
414,Kangaba,68,ML,1567801941,90,11.94,-8.41,296.556,1.12
415,San Roque,20,ES,1567801942,88,36.21,-5.38,297.15,5.1
416,Inuvik,20,CA,1567801943,67,68.36,-133.71,289.15,3.1
417,Ambulu,64,ID,1567801945,88,-8.35,113.61,294.956,2.17
418,Ayan,0,IR,1567801946,51,38.23,44.7,286.756,1.11
419,Casa Nova,33,BR,1567801947,45,-16.03,-44.16,299.856,5.18
420,Severnoye,10,RU,1567801948,86,54.09,52.54,282.256,2.13
421,Gambo,100,CF,1567801950,87,4.65,22.26,295.356,0.7
422,Lahaina,40,US,1567801951,55,20.87,-156.68,304.15,8.2
423,Ossora,100,RU,1567801952,99,59.24,163.07,282.656,2.25
424,Tilichiki,100,RU,1567801953,79,60.47,166.1,282.656,0.67
425,Beringovskiy,78,RU,1567801955,68,63.05,179.32,283.256,0.93
426,Ahuimanu,75,US,1567801956,65,21.44,-157.84,305.15,6.7
427,Nabire,98,ID,1567801957,97,-3.36,135.5,292.956,2.17
428,Soe,0,EE,1567801958,81,57.91,26.05,284.82,2.1
429,Aquidauana,3,BR,1567801960,13,-20.47,-55.78,310.056,1.86
430,Buncrana,75,GB,1567801961,93,55.14,-7.45,287.15,3.1
431,Agua Dulce,75,MX,1567801962,74,18.14,-94.15,304.15,5.1
432,Yumen,0,CN,1567801963,30,40.29,97.04,292.856,8.16
433,Noumea,0,NC,1567801965,87,-22.28,166.46,293.71,0.5
434,Prince Rupert,90,CA,1567801966,93,54.32,-130.32,288.15,3.1
435,Katsuura,75,JP,1567801967,88,33.93,134.5,299.15,7.7
436,Moron,41,HT,1567801968,71,18.56,-74.26,302.056,1.68
437,Urusha,98,RU,1567801970,92,54.05,122.9,286.356,2.05
438,Sinop,0,TR,1567801971,75,42.03,35.15,292.256,5.53
439,Antofagasta,90,CL,1567801713,67,-23.65,-70.4,288.15,6.7
440,Lorengau,100,PG,1567801973,80,-2.02,147.27,299.356,4.82
441,Taksimo,35,RU,1567801974,79,56.36,114.84,278.156,3.12
442,Gazojak,0,TM,1567801976,43,41.19,61.4,287.956,4.06
443,Half Moon Bay,20,US,1567801977,60,37.46,-122.43,298.15,7.2
444,Staryy Nadym,77,RU,1567801978,88,65.61,72.68,284.456,3.08
445,Gat,20,SN,1567801979,83,14.69,-16.54,301.15,2.1
446,Namibe,100,AO,1567801981,93,-15.19,12.15,292.256,3.84
447,Igrim,0,RU,1567801982,87,63.19,64.42,282.656,2.39
448,Queimadas,20,BR,1567801983,73,-7.36,-35.9,297.15,7.7
449,Lincoln,0,GB,1567801984,71,53.23,-0.54,287.15,3.6
450,Chatellerault,0,FR,1567801986,44,46.8,0.53,289.15,1.0
451,Dmitriyevka,15,GE,1567801987,77,43.08,41.0,296.256,5.08
452,Buenos Aires,0,AR,1567801987,76,-34.61,-58.44,289.26,8.7
453,San Cristobal,99,HN,1567801989,69,14.68,-86.92,296.056,2.75
454,Manokwari,75,ID,1567801991,67,-0.87,134.08,296.856,1.67
455,Qidong,88,CN,1567801992,91,31.81,121.66,297.59,8.1
456,Kirakira,92,SB,1567801993,77,-10.46,161.92,298.556,3.53
457,Waghai,100,IN,1567801994,91,20.77,73.5,299.256,5.04
458,Petit Goave,40,HT,1567801996,66,18.43,-72.87,305.15,6.7
459,Champerico,75,MX,1567801997,49,16.38,-93.6,306.15,3.1
460,Praia da Vitoria,75,PT,1567801998,73,38.73,-27.07,294.15,6.43
461,Cidreira,100,BR,1567801999,87,-30.17,-50.22,289.556,8.62
462,Saint-Ambroise,20,CA,1567802001,44,48.56,-71.32,288.71,1.5
463,Katoro,47,TZ,1567802002,65,-3.0,31.93,294.256,1.46
464,Severo-Kurilsk,0,RU,1567801926,91,50.68,156.12,283.456,9.77
465,Port Maria,20,JM,1567802004,62,18.37,-76.89,305.15,6.2
466,Rundu,21,NA,1567802005,18,-17.91,19.77,300.15,1.5
467,Tual,90,ID,1567802007,85,-5.67,132.75,298.256,5.97
468,Eureka,90,US,1567801973,72,40.8,-124.16,296.48,3.1
469,Jishou,33,CN,1567802009,78,28.26,109.7,293.256,0.85
470,Dhidhdhoo,60,MV,1567802010,79,6.88,73.1,301.256,6.59
471,Omboue,81,GA,1567802012,85,-1.57,9.26,297.256,6.09
472,San Ramon,90,NI,1567802013,83,12.92,-85.84,295.15,6.2
473,Banjar,68,ID,1567802014,96,-7.37,108.54,292.856,0.59
474,Gamba,100,CN,1567802015,67,28.28,88.52,279.056,2.09
475,Zyryanka,100,RU,1567802017,64,65.73,150.89,278.956,4.01
476,San Lazaro,20,BZ,1567802018,66,18.04,-88.66,305.15,5.1
477,Deming,1,US,1567802019,20,32.27,-107.76,307.15,1.5
478,Lensk,31,RU,1567802020,94,60.71,114.91,277.756,1.39
479,Comodoro Rivadavia,40,AR,1567802022,75,-45.87,-67.48,280.15,2.1
480,Samsun,75,TR,1567802023,68,41.29,36.33,295.37,4.6
481,Dwarka,75,IN,1567802024,83,28.58,77.04,305.93,2.1
482,Neiafu,4,TO,1567802025,69,-18.65,-173.98,296.556,6.38
483,Ruy Barbosa,64,BR,1567802027,59,-12.29,-40.5,296.256,4.07
484,Leh,0,IN,1567802028,31,34.16,77.58,279.956,3.42
485,Tezu,100,IN,1567802029,95,27.93,96.16,295.456,1.62
486,Tiarei,40,PF,1567802030,47,-17.53,-149.33,299.15,2.1
487,Shchors,0,UA,1567802032,76,51.82,31.95,287.656,1.64
488,Khasan,100,RU,1567802033,99,42.43,130.64,293.756,1.07
489,Pochutla,20,MX,1567802034,62,15.74,-96.47,305.37,5.1
490,Killybegs,90,IE,1567802036,82,54.63,-8.45,287.15,8.7
491,Pasaje,20,EC,1567802037,65,-3.33,-79.81,305.15,2.6
492,San Vicente,0,EC,1567802038,69,-0.59,-80.41,297.15,6.2
493,Havelock,75,US,1567801924,65,34.88,-76.9,303.15,6.2
494,Teguise,75,ES,1567802041,64,29.06,-13.56,297.15,4.6
495,Leshukonskoye,66,RU,1567802042,85,64.9,45.76,284.856,4.23
496,Imeni Poliny Osipenko,0,RU,1567802043,96,52.42,136.49,285.356,0.84
497,Lalibela,31,ET,1567802044,72,12.04,39.05,288.756,1.54
498,Manjacaze,34,MZ,1567802045,75,-24.71,33.88,289.156,3.87
499,Annau,0,TM,1567802047,37,37.89,58.52,295.15,3.1
500,Anantapur,100,IN,1567802048,71,14.68,77.61,298.356,9.52
501,Guozhen,0,CN,1567802049,72,29.3,113.14,295.356,2.76
502,Puerto Escondido,40,MX,1567802051,66,15.86,-97.07,304.15,3.1
503,Edson,20,CA,1567802052,67,53.59,-116.44,290.15,3.1
504,Peniche,0,PT,1567802053,56,39.36,-9.38,298.15,2.1
505,Dakar,20,SN,1567801856,83,14.69,-17.45,301.15,2.1
506,Houma,0,CN,1567802056,53,35.63,111.36,292.956,2.98
507,Manhuacu,90,BR,1567801980,81,-20.26,-42.03,290.856,2.05
508,Tiznit,66,MA,1567802058,91,29.7,-9.73,294.156,2.43
509,Mount Pleasant,1,US,1567802059,29,33.16,-94.97,310.37,2.1
510,Sola,92,TZ,1567802060,64,-3.17,33.8,295.856,2.31
511,Kumbo,100,CM,1567802062,91,6.21,10.69,290.556,1.34
512,Kazanskaya,30,RU,1567802063,83,45.41,40.44,292.04,8.11
513,Saint-Joseph,0,FR,1567802064,93,43.56,6.97,293.71,1.0
514,Xinzhou,0,CN,1567802065,55,38.41,112.73,287.456,1.31
515,Clarence Town,3,AU,1567802067,62,-32.59,151.78,286.48,12.3
516,Humaita,40,AR,1567802068,34,-24.93,-65.37,295.15,2.6
517,Solsona,0,ES,1567802069,65,41.99,1.52,294.26,1.79
518,Koulikoro,40,ML,1567802070,74,12.86,-7.56,301.15,3.1
519,Viransehir,0,TR,1567802072,50,37.24,39.76,295.356,2.12
520,Mayo,20,CA,1567802073,50,63.59,-135.9,287.15,1.0
521,Tadine,0,NC,1567802074,68,-21.55,167.88,293.756,5.09
522,Iskateley,86,RU,1567802075,93,67.68,53.15,284.756,5.76
523,Nerja,40,ES,1567802076,50,36.75,-3.88,298.15,2.79
524,Barentu,22,ER,1567802078,81,15.11,37.59,297.056,1.32
525,Okhotsk,100,RU,1567802079,54,59.36,143.24,281.656,3.64
526,Mantua,100,IT,1567802080,93,45.16,10.79,291.15,2.1
527,Constitucion,75,MX,1567802081,53,23.99,-104.67,295.93,1.5
528,Minab,0,IR,1567802083,74,27.15,57.07,305.15,1.97
529,Perpignan,0,FR,1567802084,35,42.7,2.88,294.82,6.7
530,Ciudad Bolivar,100,VE,1567802085,61,8.12,-63.55,304.656,2.34
531,Nelson Bay,10,AU,1567802086,62,-32.72,152.14,285.93,12.3
532,Muli,46,CN,1567802088,76,28.08,109.56,293.756,1.24
533,Broome,20,GB,1567802089,82,52.47,1.45,286.15,3.6
534,West Odessa,40,US,1567802090,33,31.84,-102.48,308.15,4.6
535,Luena,0,AO,1567802091,29,-11.78,19.91,292.056,1.43
536,Sabaudia,5,IT,1567802092,73,41.3,13.03,297.04,1.0
537,Tandil,100,AR,1567802025,56,-37.33,-59.14,287.04,4.92
538,Invermere,100,CA,1567802095,77,50.51,-116.03,288.71,1.43
539,Muktsar,0,IN,1567802096,64,30.47,74.52,302.456,2.7
540,Rapar,100,IN,1567802097,81,23.57,70.65,301.456,5.97
541,Astana,75,KZ,1567802099,100,51.13,71.43,281.15,3.0
542,Wyndham,20,GB,1567802100,81,51.61,-3.54,289.26,2.1
543,Tazovskiy,99,RU,1567802101,94,67.47,78.7,279.956,2.0
544,Sam Chuk,38,TH,1567802102,84,14.75,100.09,300.37,0.45
545,Kaiyuan,100,CN,1567802104,87,42.54,124.04,292.956,1.62
546,Samarai,98,PG,1567802105,74,-10.62,150.67,292.956,1.63
547,Lat Yao,100,TH,1567802107,82,15.75,99.79,296.956,0.8
548,Biltine,89,TD,1567802108,36,14.53,20.93,306.056,1.44
549,Hirara,90,JP,1567802109,83,24.8,125.28,301.556,9.41
550,Yankton,1,US,1567802009,50,42.87,-97.4,299.26,1.5
551,Mahajanga,0,MG,1567802111,78,-15.72,46.32,298.15,2.1
552,Qaqortoq,100,GL,1567802113,28,60.72,-46.03,288.15,5.7
553,Guarapari,75,BR,1567802114,83,-20.67,-40.5,294.15,3.1
554,Arica,90,CL,1567802115,72,-18.48,-70.32,290.15,6.7
555,Serenje,0,ZM,1567802116,42,-13.23,30.22,286.756,3.63
556,Porto Novo,75,BR,1567802118,88,-23.68,-45.44,290.15,3.6
557,Maun,0,BW,1567802119,27,-19.99,23.42,298.15,9.8
558,Dhemaji,100,IN,1567802120,91,27.48,94.56,297.656,1.5
559,Paka,97,CF,1567802121,97,4.15,15.03,293.756,1.24
560,Santa Luzia,20,BR,1567802086,53,-19.77,-43.85,297.15,7.2
561,Antsohihy,2,MG,1567802124,65,-14.88,47.99,296.556,2.57
562,Alamosa,1,US,1567802081,17,37.47,-105.87,301.15,16.96
563,Puerto Madero,0,AR,1567802126,76,-34.61,-58.36,289.26,8.7
564,Cap Malheureux,40,MU,1567802127,88,-19.98,57.61,294.82,1.5
565,Medicine Hat,90,CA,1567801938,31,50.04,-110.68,296.15,5.1
566,Methoni,0,GR,1567802130,73,36.82,21.7,299.26,1.0
567,Labuhan,0,ID,1567802131,90,-2.54,115.51,294.856,0.63
568,Fort Nelson,90,CA,1567802132,63,58.81,-122.69,289.15,1.0
569,Innisfail,35,AU,1567802133,42,-17.52,146.03,288.556,1.9
